Date,"Modeled
Snow
Precipitation
(mm of water)","Modeled
Non-Snow
Precipitation
(mm of water)","Observed
Snow
Precipitation
(mm of water)","Observed
Non-Snow
Precipitation
(mm of water)","Observed
Unknown
Precipitation
(mm of water)","Modeled
Snow Water
Equivalent
(cm)","Modeled
Snow
Depth
(cm)","Observed
Present
Weather"
2022-12-15 11,0,0,,,,0.29,2.5,
2022-12-15 12,0,0,,,,0.29,2.47,
2022-12-15 13,0,0,,,,0.29,2.44,
2022-12-15 14,0,0,,,,0.28,2.41,
2022-12-15 15,0,0,,,,0.28,2.38,
2022-12-15 16,0,0,,,,0.28,2.36,
2022-12-15 17,0,0,,,,0.28,2.33,
2022-12-15 18,0,0,,,,0.28,2.31,
2022-12-15 19,0,0,,,,0.28,2.29,
2022-12-15 20,0,0,,,,0.27,2.27,
2022-12-15 21,0,0,,,,0.27,2.25,
2022-12-15 22,0,0,,,,0.27,2.23,
2022-12-15 23,0,0,,,,0.27,2.21,
2022-12-16 00,0,0,,,,0.27,2.19,
2022-12-16 01,0,0,,,,0.27,2.17,
2022-12-16 02,0,0,,,,0.27,2.15,
2022-12-16 03,0,0,,,,0.27,2.13,
2022-12-16 04,0,0,,,,0.26,2.11,
2022-12-16 05,0,0,,,,0.26,2.1,
2022-12-16 06,0,0,,,,0.26,2.08,
2022-12-16 07,0,0,,,,0.26,2.05,
2022-12-16 08,0,0,,,,0.26,2.03,
2022-12-16 09,0,0,,,,0.25,2.01,
2022-12-16 10,0,0,,,,0.25,1.98,
2022-12-16 11,0,0,,,,0.25,1.96,
2022-12-16 12,0,0,,,,0.25,1.93,Snow
2022-12-16 13,0,0,,,,0.25,1.92,
2022-12-16 14,0.14,0,,,,0.26,2.04,
2022-12-16 15,0.35,0,,,,0.29,2.37,
2022-12-16 16,0.09,0,,,,0.3,2.44,
2022-12-16 17,0.14,0,,,,0.31,2.56,
2022-12-16 18,0.09,0,,,,0.32,2.63,
2022-12-16 19,0.02,0,,,,0.32,2.63,
2022-12-16 20,0.03,0,,,,0.32,2.64,
2022-12-16 21,0.03,0,,,,0.33,2.65,
2022-12-16 22,0.01,0,,,,0.33,2.65,
2022-12-16 23,0.04,0,,,,0.33,2.68,
2022-12-17 00,0,0,,,,0.33,2.66,
2022-12-17 01,0,0,,,,0.33,2.65,
2022-12-17 02,0.05,0,,,,0.33,2.69,
2022-12-17 03,0.51,0.14,,,,0.4,3.21,
2022-12-17 04,0.24,0.14,,,,0.44,3.45,
2022-12-17 05,0.07,0,,,,0.44,3.5,
2022-12-17 06,0.17,0,,,,0.46,3.65,
2022-12-17 07,0.19,0,,,,0.48,3.83,
2022-12-17 08,0.36,0,,,,0.51,4.17,
2022-12-17 09,0.91,0,,,,0.6,5.07,
2022-12-17 10,0.75,0,,,,0.68,5.79,
2022-12-17 11,0.66,0,,,,0.74,6.42,
2022-12-17 12,0.78,0,,,,0.82,7.17,
2022-12-17 13,0.69,0,,,2.36,0.89,7.82,
2022-12-17 14,0.79,0,,,2.36,0.97,8.57,
2022-12-17 15,0.53,0,,,2.36,1.02,9.05,Snow
2022-12-17 16,0.28,0,,,2.36,1.05,9.27,
2022-12-17 17,0.14,0,,,2.32,1.06,9.35,
2022-12-17 18,0.25,0,,,0,1.09,9.54,
2022-12-17 19,0.19,0,,,0,1.11,9.66,
2022-12-17 20,0.28,0,,,0,1.14,9.88,
2022-12-17 21,0.09,0,,,0,1.14,9.9,
2022-12-17 22,0.11,0,,,0,1.16,9.95,
2022-12-17 23,0.13,0,,,0,1.17,10.01,
2022-12-18 00,0.05,0,,,0.04,1.17,9.99,
2022-12-18 01,0.09,0,,,2.36,1.18,10.02,
2022-12-18 02,0.03,0,,,2.32,1.18,9.98,
2022-12-18 03,0,0,,,0,1.18,9.92,
2022-12-18 04,0,0,,,0,1.18,9.86,
2022-12-18 05,0,0,,,0,1.18,9.79,
2022-12-18 06,0,0,,,0,1.18,9.73,
2022-12-18 07,0,0,,,0,1.18,9.67,
2022-12-18 08,0,0,,,0,1.18,9.62,
2022-12-18 09,0,0,,,0,1.18,9.57,
2022-12-18 10,0,0,,,0,1.18,9.51,
2022-12-18 11,0,0,,,0,1.18,9.46,
2022-12-18 12,0,0,,,0,1.18,9.41,
2022-12-18 13,0,0,,,0,1.17,9.36,
2022-12-18 14,0,0,,,0,1.17,9.32,
2022-12-18 15,0,0,,,0,1.17,9.28,
2022-12-18 16,0,0,,,0,1.17,9.24,
2022-12-18 17,0,0,,,0,1.17,9.19,
2022-12-18 18,0,0,,,0,1.17,9.14,
2022-12-18 19,0,0,,,0,1.17,9.09,
2022-12-18 20,0,0,,,0,1.17,9.05,
2022-12-18 21,0,0,,,0,1.17,9,
2022-12-18 22,0,0,,,0,1.17,8.96,
2022-12-18 23,0,0,,,0,1.17,8.92,
2022-12-19 00,0,0,,,0,1.16,8.88,
2022-12-19 01,0,0,,,0,1.16,8.84,
2022-12-19 02,0,0,,,0,1.16,8.8,
2022-12-19 03,0,0,,,0,1.16,8.76,
2022-12-19 04,0,0,,,0,1.16,8.72,
2022-12-19 05,0,0,,,0,1.16,8.69,
2022-12-19 06,0,0,,,0,1.16,8.66,
2022-12-19 07,0,0,,,0,1.25,9.33,
2022-12-19 08,0,0,,,0,1.35,10,
2022-12-19 09,0,0,,,0,1.44,10.67,
2022-12-19 10,0,0,,,0,1.54,11.33,No Precip
2022-12-19 11,0,0,,,0,1.63,11.99,
2022-12-19 12,0,0,,,0,1.73,12.65,
2022-12-19 13,0,0,,,0,1.73,12.6,
2022-12-19 14,0,0,,,0,1.72,12.56,
2022-12-19 15,0.11,0,,,0,1.74,12.62,
2022-12-19 16,0,0,,,0,1.74,12.58,
2022-12-19 17,0,0,,,0,1.73,12.54,
2022-12-19 18,0,0,,,0,1.73,12.49,
2022-12-19 19,0,0,,,0,1.73,12.44,
2022-12-19 20,0,0,,,0,1.73,12.39,
2022-12-19 21,0,0,,,0,1.73,12.35,
2022-12-19 22,0,0,,,0,1.73,12.3,
2022-12-19 23,0,0,,,0,1.73,12.25,
2022-12-20 00,0,0,,,0,1.73,12.21,
2022-12-20 01,0,0,,,0,1.72,12.16,
2022-12-20 02,0,0,,,0,1.72,12.11,
2022-12-20 03,0,0,,,0,1.72,12.06,
2022-12-20 04,0,0,,,0,1.72,12.01,
2022-12-20 05,0,0,,,0,1.72,11.97,
2022-12-20 06,0,0,,,0,1.71,11.92,
2022-12-20 07,0,0,,,0,1.71,11.89,
2022-12-20 08,0,0,,,0,1.71,11.85,
2022-12-20 09,0,0,,,0,1.71,11.81,
2022-12-20 10,0,0,,,0,1.71,11.78,Snow
2022-12-20 11,0,0,,,0,1.71,11.74,
2022-12-20 12,0,0,,,0,1.71,11.71,
2022-12-20 13,0,0,,,0,1.71,11.67,
2022-12-20 14,0,0,,,0,1.71,11.64,
2022-12-20 15,0,0,,,0,1.71,11.6,
2022-12-20 16,0,0,,,0,1.7,11.57,
2022-12-20 17,0,0,,,0,1.7,11.54,
2022-12-20 18,0,0,,,0,1.7,11.52,
2022-12-20 19,0,0,,,0,1.7,11.49,
2022-12-20 20,0,0,,,0,1.7,11.46,
2022-12-20 21,0,0,,,0,1.7,11.43,
2022-12-20 22,0,0,,,0,1.7,11.4,
2022-12-20 23,0,0,,,0,1.7,11.37,
2022-12-21 00,0,0,,,0,1.7,11.34,
2022-12-21 01,0,0,,,0,1.7,11.31,
2022-12-21 02,0,0,,,0,1.7,11.28,
2022-12-21 03,0,0,,,0,1.7,11.25,
2022-12-21 04,0,0,,,0,1.7,11.23,
2022-12-21 05,0,0,,,0,1.7,11.2,
2022-12-21 06,0,0,,,0,1.69,11.18,
2022-12-21 07,0,0,,,0,1.74,11.44,
2022-12-21 08,0,0,,,0,1.78,11.69,
2022-12-21 09,0,0,,,0,1.82,11.94,
2022-12-21 10,0,0,,,,1.86,12.19,No Precip
2022-12-21 11,0,0,,,0,1.9,12.43,
2022-12-21 12,0,0,,,0,1.94,12.68,
2022-12-21 13,0,0,,,0,1.94,12.65,
2022-12-21 14,0,0,,,0,1.94,12.62,
2022-12-21 15,0,0,,,0,1.94,12.59,
2022-12-21 16,0,0,,,0,1.94,12.56,
2022-12-21 17,0,0,,,0,1.94,12.53,
2022-12-21 18,0,0,,,0,1.93,12.49,
2022-12-21 19,0,0,,,0,1.93,12.45,
2022-12-21 20,0,0,,,0,1.93,12.41,
2022-12-21 21,0,0,,,0,1.93,12.37,
2022-12-21 22,0,0,,,0,1.92,12.33,
2022-12-21 23,0,0,,,0,1.92,12.29,
2022-12-22 00,0,0,,,0,1.92,12.25,
2022-12-22 01,0,0,,,0,1.92,12.21,
2022-12-22 02,0,0,,,0,1.92,12.18,
2022-12-22 03,0,0,,,0,1.91,12.15,
2022-12-22 04,0,0,,,0,1.91,12.12,
2022-12-22 05,0,0,,,0,1.91,12.1,
2022-12-22 06,0,0,,,0,1.91,12.07,
2022-12-22 07,0,0,,,0,1.91,12.05,
2022-12-22 08,0,0,,,0,1.91,12.03,
2022-12-22 09,0,0,,,0,1.91,12.01,
2022-12-22 10,0,0,,,,1.91,11.98,No Precip
2022-12-22 11,0,0,,,,1.91,11.96,
2022-12-22 12,0,0,,,,1.91,11.94,
2022-12-22 13,0,0,,,,1.91,11.92,
2022-12-22 14,0,0,,,0,1.91,11.9,
2022-12-22 15,0,0,,,0,1.91,11.87,
2022-12-22 16,0,0,,,0,1.91,11.85,
2022-12-22 17,0,0,,,0,1.91,11.83,
2022-12-22 18,0,0,,,0,1.9,11.8,
2022-12-22 19,0,0,,,0,1.9,11.76,
2022-12-22 20,0,0,,,0,1.9,11.72,
2022-12-22 21,0,0,,,0,1.9,11.69,
2022-12-22 22,0,0,,,0,1.89,11.65,
2022-12-22 23,0,0,,,0,1.89,11.6,
2022-12-23 00,0,0,,,0,1.88,11.55,
2022-12-23 01,0,0,,,0,1.88,11.5,
2022-12-23 02,0,0,,,0,1.88,11.46,
2022-12-23 03,0,0,,,0,1.87,11.42,
2022-12-23 04,0,0,,,0,1.87,11.38,
2022-12-23 05,0,0.4,,,0,1.91,11.39,
2022-12-23 06,0.01,0.5,,,0,1.96,11.43,
2022-12-23 07,0,0.41,,,0,2,11.45,
2022-12-23 08,0,1.08,,,0,2.06,11.52,
2022-12-23 09,0,1.43,,,0,2.13,11.31,
2022-12-23 10,0,2.07,,,0,2.32,10.6,
2022-12-23 11,0,0.37,,,0,2.32,9.07,
2022-12-23 12,0,0.24,,,0,2.03,7.39,Rain
2022-12-23 13,0,0.26,,,,1.97,6.91,
2022-12-23 14,0,4.2,,,,2.08,7.35,
2022-12-23 15,0,4.98,,,,1.72,4.81,
2022-12-23 16,0,0.2,,,,1.3,4.95,
2022-12-23 17,0,1.82,,,,0.99,2.7,
2022-12-23 18,0,4.49,,,,1.34,3.23,
2022-12-23 19,0,2.18,,,0.66,1.05,3.58,
2022-12-23 20,0,0.08,,,0.67,0.56,0.94,
2022-12-23 21,0,1.44,,,0.99,0.36,1.14,
2022-12-23 22,0,1.26,,,0.97,0.43,1.31,
2022-12-23 23,0,0.48,,,0.65,0.34,0.57,
2022-12-24 00,1.18,0,,,0.34,0.44,1.74,
2022-12-24 01,2.43,0,,,0.66,0.68,4.15,
2022-12-24 02,1.68,0,,,0.65,0.85,5.81,
2022-12-24 03,0.36,0,,,0.33,0.88,6.15,
2022-12-24 04,0.01,0,,,0.32,0.88,6.14,
2022-12-24 05,0.04,0,,,0,0.88,6.16,
2022-12-24 06,0.34,0,,,0,0.91,6.48,
2022-12-24 07,0.72,0,,,0,0.99,7.18,
2022-12-24 08,0.98,0,,,0,1.08,8.14,
2022-12-24 09,0.22,0,,,0,1.1,8.32,
2022-12-24 10,0.01,0,,,0,1.1,8.29,
2022-12-24 11,0,0,,,0,1.1,8.26,
2022-12-24 12,0,0,,,0,1.1,8.22,
2022-12-24 13,0,0,,,0,1.09,8.18,
2022-12-24 14,0,0,,,0,1.09,8.14,
2022-12-24 15,0,0,,,0,1.09,8.1,
2022-12-24 16,0,0,,,0,1.08,8.06,
2022-12-24 17,0,0,,,0,1.08,8.02,
2022-12-24 18,0,0,,,0,1.08,7.98,No Precip
2022-12-24 19,0,0,,,0,1.08,7.94,
2022-12-24 20,0,0,,,0,1.07,7.9,
2022-12-24 21,0,0,,,0,1.07,7.86,
2022-12-24 22,0,0,,,0,1.07,7.82,
2022-12-24 23,0,0,,,0,1.06,7.78,
2022-12-25 00,0,0,,,0,1.06,7.74,
2022-12-25 01,0,0,,,0,1.05,7.69,
2022-12-25 02,0,0,,,0,1.05,7.65,
2022-12-25 03,0,0,,,0,1.05,7.61,
2022-12-25 04,0,0,,,0,1.04,7.57,
2022-12-25 05,0,0,,,0,1.04,7.52,
2022-12-25 06,0,0,,,0,1.04,7.48,
2022-12-25 07,0,0,,,0,1.03,7.44,
2022-12-25 08,0,0,,,0,1.03,7.4,
2022-12-25 09,0,0,,,0,1.03,7.37,
2022-12-25 10,0,0,,,0,1.02,7.33,
2022-12-25 11,0,0,,,0,1.02,7.29,
2022-12-25 12,0,0,,,0,1.02,7.25,
2022-12-25 13,0,0,,,,1.01,7.21,Snow
2022-12-25 14,0,0,,,,1.01,7.18,
2022-12-25 15,0.01,0,,,,1.01,7.15,
2022-12-25 16,0,0,,,,1,7.12,
2022-12-25 17,0,0,,,0,1,7.09,
2022-12-25 18,0,0,,,0,1,7.05,
2022-12-25 19,0,0,,,0,1,7.01,
2022-12-25 20,0,0,,,0,0.99,6.98,
2022-12-25 21,0,0,,,0,0.99,6.95,
2022-12-25 22,0,0,,,0,0.99,6.91,
2022-12-25 23,0,0,,,0,0.98,6.88,
2022-12-26 00,0,0,,,0,0.98,6.84,
2022-12-26 01,0,0,,,0,0.98,6.8,
2022-12-26 02,0,0,,,0,0.97,6.77,
2022-12-26 03,0.01,0,,,0,0.97,6.74,
2022-12-26 04,0,0,,,0,0.97,6.7,
2022-12-26 05,0,0,,,0,0.96,6.67,
2022-12-26 06,0,0,,,0,0.96,6.64,
2022-12-26 07,0,0,,,0,0.96,6.61,
2022-12-26 08,0,0,,,0,0.96,6.58,
2022-12-26 09,0,0,,,0,0.95,6.55,
2022-12-26 10,0,0,,,0,0.95,6.52,
2022-12-26 11,0,0,,,0,0.95,6.49,
2022-12-26 12,0,0,,,0,0.95,6.46,
2022-12-26 13,0,0,,,0,0.94,6.44,
2022-12-26 14,0,0,,,0,0.94,6.41,
2022-12-26 15,0,0,,,0,0.94,6.4,Snow
2022-12-26 16,0,0,,,0,0.94,6.37,
2022-12-26 17,0,0,,,0,0.94,6.35,
2022-12-26 18,0,0,,,0,0.93,6.32,
2022-12-26 19,0,0,,,0,0.93,6.29,
2022-12-26 20,0,0,,,0,0.93,6.26,
2022-12-26 21,0,0,,,0,0.93,6.24,
2022-12-26 22,0,0,,,0,0.92,6.21,
2022-12-26 23,0,0,,,0,0.92,6.18,
2022-12-27 00,0,0,,,0,0.92,6.15,
2022-12-27 01,0,0,,,0,0.92,6.12,
2022-12-27 02,0,0,,,0,0.91,6.09,
2022-12-27 03,0,0,,,0,0.91,6.07,
2022-12-27 04,0,0,,,0,0.91,6.04,
2022-12-27 05,0,0,,,0,0.91,6.02,
2022-12-27 06,0,0,,,0,0.9,5.99,
2022-12-27 07,0,0,,,0,0.9,5.96,
2022-12-27 08,0,0,,,0,0.9,5.94,
2022-12-27 09,0,0,,,0,0.9,5.92,
2022-12-27 10,0,0,,,,0.89,5.9,Snow
2022-12-27 11,0,0,,,0,0.89,5.88,
2022-12-27 12,0,0,,,0,0.89,5.86,
2022-12-27 13,0.08,0,,,0,0.9,5.92,
2022-12-27 14,0.22,0,,,0,0.92,6.13,
2022-12-27 15,0.15,0,,,0,0.93,6.26,
2022-12-27 16,0.02,0,,,0,0.93,6.26,
2022-12-27 17,0.01,0,,,0,0.93,6.26,
2022-12-27 18,0,0,,,0,0.93,6.24,
2022-12-27 19,0,0,,,0,0.93,6.23,
2022-12-27 20,0,0,,,0,0.93,6.21,
2022-12-27 21,0,0,,,0,0.93,6.19,
2022-12-27 22,0,0,,,0,0.93,6.17,
2022-12-27 23,0,0,,,0,0.93,6.16,
2022-12-28 00,0,0,,,0,0.93,6.15,
2022-12-28 01,0,0,,,0,0.93,6.14,
2022-12-28 02,0,0,,,0,0.93,6.12,
2022-12-28 03,0,0,,,0,0.92,6.11,
2022-12-28 04,0,0,,,0,0.92,6.09,
2022-12-28 05,0.06,0,,,0,0.93,6.13,
2022-12-28 06,0,0,,,0,0.93,6.11,
2022-12-28 07,0,0,,,0,0.92,6.09,
2022-12-28 08,0,0,,,0,0.92,6.07,
2022-12-28 09,0,0,,,0,0.92,6.04,
2022-12-28 10,0,0,,,0,0.92,6.02,Snow
2022-12-28 11,0,0,,,0,0.92,6.01,
2022-12-28 12,0.03,0,,,0,0.92,6.01,
2022-12-28 13,0.05,0,,,0,0.92,6.04,
2022-12-28 14,0.13,0,,,0,0.93,6.14,
2022-12-28 15,0.26,0,,,0,0.96,6.39,
2022-12-28 16,0.35,0,,,0,0.99,6.71,
2022-12-28 17,0.2,0,,,0,1.01,6.89,
2022-12-28 18,0.34,0,,,0,1.04,7.21,
2022-12-28 19,0.05,0,,,0,1.04,7.22,
2022-12-28 20,0.1,0,,,0,1.05,7.3,
2022-12-28 21,0.3,0,,,0,1.08,7.58,
2022-12-28 22,0.19,0,,,0,1.1,7.74,
2022-12-28 23,0.14,0,,,0,1.11,7.85,
2022-12-29 00,0,0,,,0,1.11,7.82,
2022-12-29 01,0,0,,,0,1.11,7.79,
2022-12-29 02,0,0,,,0,1.11,7.75,
2022-12-29 03,0,0,,,0,1.1,7.72,
2022-12-29 04,0,0,,,0,1.1,7.69,
2022-12-29 05,0,0,,,0,1.1,7.65,
2022-12-29 06,0,0,,,0,1.1,7.61,
2022-12-29 07,0,0,,,0,1.1,7.57,
2022-12-29 08,0,0,,,0,1.09,7.54,
2022-12-29 09,0,0,,,0,1.09,7.5,
2022-12-29 10,0,0,,,,1.09,7.46,No Precip
2022-12-29 11,0,0,,,,1.09,7.42,
2022-12-29 12,0,0,,,,1.08,7.38,
2022-12-29 13,0,0,,,0,1.08,7.33,
2022-12-29 14,0,0,,,0,1.07,7.29,
2022-12-29 15,0,0,,,0,1.07,7.24,
2022-12-29 16,0,0,,,0,1.07,7.2,
2022-12-29 17,0,0,,,0,1.06,7.15,
2022-12-29 18,0,0,,,0,1.06,7.11,
2022-12-29 19,0,0,,,0,1.06,7.07,
2022-12-29 20,0,0,,,0,1.04,7.01,
2022-12-29 21,0,0,,,0,1.01,6.75,
2022-12-29 22,0,0,,,0,1,6.23,
2022-12-29 23,0,0,,,0,0.97,5.89,
2022-12-30 00,0,0,,,0,0.96,5.81,
2022-12-30 01,0,0,,,0,0.94,5.67,
2022-12-30 02,0,0,,,0,0.92,5.49,
2022-12-30 03,0,0,,,0,0.88,5.27,
2022-12-30 04,0,0,,,0,0.87,4.89,
2022-12-30 05,0,0,,,0,0.85,4.68,
2022-12-30 06,0,0,,,0,0.83,4.56,
2022-12-30 07,0,0,,,0,0.8,4.37,
2022-12-30 08,0,0,,,0,0.76,4.17,
2022-12-30 09,0,0.02,,,0,0.71,3.88,
2022-12-30 10,0,0.01,,,0,0.65,3.36,
2022-12-30 11,0,0,,,0,0.59,3,
2022-12-30 12,0,0,,,0,0.54,2.54,No Precip
2022-12-30 13,0,0,,,0,0.49,2.36,
2022-12-30 14,0,0,,,0,0.43,1.94,
2022-12-30 15,0,0,,,0,0.37,1.62,
2022-12-30 16,0,0,,,0,0.28,1.27,
2022-12-30 17,0,0,,,0,0.16,0.39,
2022-12-30 18,0,0,,,0,0.05,0.09,
2022-12-30 19,0,0,,,0,0.01,0.02,
2022-12-30 20,0,0,,,0,0,0,
2022-12-30 21,0,0,,,0,0,0,
2022-12-30 22,0,0,,,0,0,0,
2022-12-30 23,0,0,,,0,0,0,
2022-12-31 00,0,0,,,0,0,0,
2022-12-31 01,0,0,,,0,0,0,
2022-12-31 02,0,0,,,0,0,0,
2022-12-31 03,0,0,,,0,0,0,
2022-12-31 04,0,0,,,0,0,0,
2022-12-31 05,0,0.06,,,0,0,0,
2022-12-31 06,0,0,,,0,0,0,
2022-12-31 07,0,0,,,0,0,0,
2022-12-31 08,0,0,,,0,0,0,
2022-12-31 09,0,0,,,0,0,0,
2022-12-31 10,0,0,,,0,0,0,
2022-12-31 11,0,0,,,0,0,0,
2022-12-31 12,0,0,,,0,0,0,
2022-12-31 13,0,0,,,0,0,0,No Precip
2022-12-31 14,0,0,,,,0,0,
2022-12-31 15,0,0,,,0,0,0,
2022-12-31 16,0,0,,,0,0,0,
2022-12-31 17,0,0,,,0,0,0,
2022-12-31 18,0,0,,,0,0,0,
2022-12-31 19,0,0,,,0,0,0,
2022-12-31 20,0,0,,,0,0,0,
2022-12-31 21,0,0,,,0,0,0,
2022-12-31 22,0,0,,,0,0,0,
2022-12-31 23,0,0,,,0,0,0,
2023-01-01 00,0,0,,,0,0,0,
2023-01-01 01,0,0,,,0,0,0,
2023-01-01 02,0,0.25,,,0.06,0,0,
2023-01-01 03,0,0,,,3.57,0,0,
2023-01-01 04,0,0.14,,,0,0,0,
2023-01-01 05,0,2.52,,,0.06,0,0,
2023-01-01 06,0,4.91,,,3.63,0,0,
2023-01-01 07,0,0.22,,,3.63,0,0,
2023-01-01 08,0,0.1,,,3.63,0,0,
2023-01-01 09,0,0.02,,,3.57,0,0,
2023-01-01 10,0,0.17,,,0,0,0,
2023-01-01 11,0,0.06,,,0.06,0,0,
2023-01-01 12,0,0.73,,,3.63,0,0,
2023-01-01 13,0,0.49,,,3.57,0,0,
2023-01-01 14,0,0.05,,,0,0,0,
2023-01-01 15,0,0.88,,,0,0,0,
2023-01-01 16,0,0.38,,,0,0,0,
2023-01-01 17,0,1.4,,,0,0,0,
2023-01-01 18,0,0.64,,,0,0,0,
2023-01-01 19,0,0,,,0,0,0,
2023-01-01 20,0,0.03,,,0,0,0,
2023-01-01 21,0,0,,,0,0,0,
2023-01-01 22,0,0,,,0,0,0,
2023-01-01 23,0,0,,,0,0,0,
2023-01-02 00,0,0,,,0,0,0,
2023-01-02 01,0,0,,,0,0,0,
2023-01-02 02,0,0,,,0,0,0,
2023-01-02 03,0,0,,,0,0,0,
2023-01-02 04,0,0,,,0,0,0,
2023-01-02 05,0,0,,,0,0,0,
2023-01-02 06,0,0,,,0,0,0,
2023-01-02 07,0,0,,,0,0,0,
2023-01-02 08,0,0,,,0,0,0,
2023-01-02 09,0,0,,,0,0,0,
2023-01-02 10,0,0,,,0,0,0,
2023-01-02 11,0,0,,,0,0,0,
2023-01-02 12,0,0,,,0,0,0,
2023-01-02 13,0,0,,,0,0,0,
2023-01-02 14,0.03,0,,,0,0,0,No Precip
2023-01-02 15,0,0.19,,,0,0,0,
2023-01-02 16,0,0.03,,,0,0,0,
2023-01-02 17,0,0.06,,,0,0,0,
2023-01-02 18,0,0.11,,,0,0,0,
2023-01-02 19,0,0.04,,,0,0,0,
2023-01-02 20,0,0.03,,,0,0,0,
2023-01-02 21,0,0,,,0,0,0,
2023-01-02 22,0,0,,,0,0,0,
2023-01-02 23,0,0,,,0,0,0,
2023-01-03 00,0,0,,,0,0,0,
2023-01-03 01,0,0,,,0,0,0,
2023-01-03 02,0,0,,,0,0,0,
2023-01-03 03,0,0,,,0,0,0,
2023-01-03 04,0,0,,,0,0,0,
2023-01-03 05,0,0,,,0,0,0,
2023-01-03 06,0,0,,,0,0,0,
2023-01-03 07,0,0,,,0,0,0,
2023-01-03 08,0,0,,,0,0,0,
2023-01-03 09,0,0,,,0,0,0,
2023-01-03 10,0,0,,,,0,0,No Precip
2023-01-03 11,0,0,,,0,0,0,
2023-01-03 12,0,0,,,0,0,0,
2023-01-03 13,0,0,,,0,0,0,
2023-01-03 14,0,0,,,0,0,0,
2023-01-03 15,0,0,,,0,0,0,
2023-01-03 16,0,0,,,0,0,0,
2023-01-03 17,0,0,,,0,0,0,
2023-01-03 18,0,0,,,0,0,0,
2023-01-03 19,0,0,,,0,0,0,
2023-01-03 20,0,0,,,0,0,0,
2023-01-03 21,0,0,,,0,0,0,
2023-01-03 22,0,0,,,0,0,0,
2023-01-03 23,0,0,,,0,0,0,
2023-01-04 00,0,0,,,0,0,0,
2023-01-04 01,0,0,,,0,0,0,
2023-01-04 02,0,0,,,0,0,0,
2023-01-04 03,0,0,,,0,0,0,
2023-01-04 04,0,0,,,0,0,0,
2023-01-04 05,0,0.03,,,0,0,0,
2023-01-04 06,0,0,,,0,0,0,
2023-01-04 07,0,0,,,0,0,0,
2023-01-04 08,0,0,,,0.02,0,0,
2023-01-04 09,0,0,,,0.49,0,0,
2023-01-04 10,0,0,,,0.05,0,0,Rain
2023-01-04 11,0,0,,,1.56,0,0,
2023-01-04 12,0,0,,,0,0,0,
2023-01-04 13,0,0,,,0,0,0,
2023-01-04 14,0,0,,,0,0,0,
2023-01-04 15,0,0,,,0,0,0,
2023-01-04 16,0,0,,,0,0,0,
2023-01-04 17,0,0,,,0,0,0,
2023-01-04 18,0,0,,,0,0,0,
2023-01-04 19,0,0,,,0,0,0,
2023-01-04 20,0,0,,,0,0,0,
2023-01-04 21,0,0,,,0,0,0,
2023-01-04 22,0,0,,,0,0,0,
2023-01-04 23,0,0,,,0,0,0,
2023-01-05 00,0,0.01,,,0,0,0,
2023-01-05 01,0,0.68,,,0.05,0,0,
2023-01-05 02,0,0.87,,,1.61,0,0,
2023-01-05 03,0,1.74,,,1.61,0,0,
2023-01-05 04,0,1.33,,,1.67,0,0,
2023-01-05 05,0,1.42,,,3.23,0,0,
2023-01-05 06,0,3.7,,,3.23,0,0,
2023-01-05 07,0,2.27,,,3.28,0,0,
2023-01-05 08,0,0.08,,,4.74,0,0,
2023-01-05 09,0,0.01,,,1.56,0,0,
2023-01-05 10,0,0.07,,,,0,0,Rain
2023-01-05 11,0,0.49,,,,0,0,
2023-01-05 12,0,0,,,,0,0,
2023-01-05 13,0,0.01,,,0.08,0,0,
2023-01-05 14,0,0.06,,,0.08,0,0,
2023-01-05 15,0,0.16,,,0.08,0,0,
2023-01-05 16,0,0.23,,,0.08,0,0,
2023-01-05 17,0,0.21,,,0.08,0,0,
2023-01-05 18,0,0.08,,,0.08,0,0,
2023-01-05 19,0,0.08,,,0.08,0,0,
2023-01-05 20,0,0.05,,,0.08,0,0,
2023-01-05 21,0,0.05,,,0.08,0,0,
2023-01-05 22,0,0.2,,,0.08,0,0,
2023-01-05 23,0,0.07,,,0.08,0,0,
2023-01-06 00,0,0.1,,,0.08,0,0,
2023-01-06 01,0,0.23,,,0.08,0,0,
2023-01-06 02,0,0.01,,,0.08,0,0,
2023-01-06 03,0,0,,,0.08,0,0,
2023-01-06 04,0.02,0.38,,,0.08,0,0,
2023-01-06 05,0,0.17,,,0.08,0,0,
2023-01-06 06,0,0,,,0.08,0,0,
2023-01-06 07,0,0,,,0.08,0,0,
2023-01-06 08,0,0,,,0.08,0,0,
2023-01-06 09,0,0,,,0.08,0,0,
2023-01-06 10,0,0,,,0.08,0,0,
2023-01-06 11,0,0,,,0.08,0,0,
2023-01-06 12,0,0,,,0.08,0,0,No Precip
2023-01-06 13,0,0,,,,0,0,
2023-01-06 14,0,0,,,,0,0,
2023-01-06 15,0,0,,,,0,0,
2023-01-06 16,0,0,,,0,0,0,
2023-01-06 17,0,0,,,0,0,0,
2023-01-06 18,0,0,,,0,0,0,
2023-01-06 19,0,0,,,0,0,0,
2023-01-06 20,0,0,,,0.02,0,0,
2023-01-06 21,0,0,,,0,0,0,
2023-01-06 22,0,0,,,0,0,0,
2023-01-06 23,0,0.01,,,0,0,0,
2023-01-07 00,0,0,,,0,0,0,
2023-01-07 01,0,0.25,,,0,0,0,
